Year,Period,labor_force_participation_rate,employment_population-ratio,labor_force,employment,unemployment,unemployment_rate
2019,Mar,60.7(R),58.4(R),9860362(R),9486094(R),374268(R),3.8(R)
2019,Apr,60.7(R),58.5(R),9861141(R),9491920(R),369221(R),3.7(R)
2019,May,60.8(R),58.5(R),9864463(R),9497238(R),367225(R),3.7(R)
2019,Jun,60.8(R),58.5(R),9870657(R),9501494(R),369163(R),3.7(R)
2019,Jul,60.8(R),58.5(R),9877987(R),9503811(R),374176(R),3.8(R)
2019,Aug,60.9(R),58.5(R),9885501(R),9505846(R),379655(R),3.8(R)
2019,Sep,60.9(R),58.6(R),9895889(R),9513713(R),382176(R),3.9(R)
2019,Oct,61.0(R),58.6(R),9910497(R),9527231(R),383266(R),3.9(R)
2019,Nov,61.1(R),58.7(R),9925425(R),9540945(R),384480(R),3.9(R)
2019,Dec,61.1(R),58.8(R),9932018(R),9546194(R),385824(R),3.9(R)
2020,Jan,61.1(R),58.7(R),9923921(R),9537629(R),386292(R),3.9(R)
2020,Feb,61.0(R),58.6(R),9899607(R),9514153(R),385454(R),3.9(R)
2020,Mar,60.8(R),58.4(R),9864566(R),9482618(R),381948(R),3.9(R)
2020,Apr,57.7(R),48.3(R),9359206(R),7839695(R),1519511(R),16.2(R)
2020,May,58.5(R),48.9(R),9494524(R),7927721(R),1566803(R),16.5(R)
2020,Jun,59.0(R),50.9(R),9562307(R),8255048(R),1307259(R),13.7(R)
2020,Jul,59.1(R),51.6(R),9578818(R),8361578(R),1217240(R),12.7(R)
2020,Aug,58.6(R),52.1(R),9483828(R),8438359(R),1045469(R),11.0(R)
2020,Sep,58.7(R),52.6(R),9483945(R),8503498(R),980447(R),10.3(R)
2020,Oct,58.3(R),52.8(R),9410966(R),8533486(R),877480(R),9.3(R)
2020,Nov,58.3(R),53.0(R),9403074(R),8551035(R),852039(R),9.1(R)
2020,Dec,58.2(R),53.1(R),9382646(R),8555149(R),827497(R),8.8(R)
2021,Jan,58.2(R),53.2(R),9362929(R),8554226(R),808703(R),8.6(R)
2021,Feb,58.2(R),53.2(R),9344821(R),8555836(R),788985(R),8.4(R)
2021,Mar,59.5(R),54.8(R),9548482(R),8790193(R),758289(R),7.9(R)
2021,Apr,59.6(R),54.9(R),9548857(R),8804181(R),744676(R),7.8(R)
2021,May,59.5(R),55.1(R),9519849(R),8817795(R),702054(R),7.4(R)
2021,Jun,59.6(R),55.2(R),9535782(R),8827869(R),707913(R),7.4(R)
2021,Jul,59.4(R),55.3(R),9487697(R),8832744(R),654953(R),6.9(R)
2021,Aug,59.3(R),55.4(R),9463499(R),8837061(R),626438(R),6.6(R)
2021,Sep,59.0(R),55.4(R),9409934(R),8842284(R),567650(R),6.0(R)
2021,Oct,58.9(R),55.6(R),9385787(R),8851212(R),534575(R),5.7(R)
2021,Nov,58.8(R),55.6(R),9366160(R),8856579(R),509581(R),5.4(R)
2021,Dec,58.9(R),55.7(R),9364698(R),8859312(R),505386(R),5.4(R)
2022,Jan,59.1,56,9386918,8888257,498661,5.3
2022,Feb,59.1,56.2,9369054,8910100,458954,4.9
2022,Mar,59.2(P),56.4(P),9376546(P),8945291(P),431255(P),4.6(P
